OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1538	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Unassigned	Unassigned
ASV_1596	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Unassigned
ASV_1895	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Unassigned
ASV_1303	Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Nocardiaceae	Unassigned	Unassigned
ASV_1318	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unassigned
ASV_1701	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned
ASV_2944	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
ASV_3083	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Unassigned
ASV_1197	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Unassigned
ASV_1382	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	Unassigned
ASV_1388	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Unassigned
ASV_1685	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Alishewanella	Unassigned
ASV_2023	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Unassigned
ASV_2053	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned
ASV_2086	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unassigned
ASV_2209	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_2449	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Unassigned
ASV_1622	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Unassigned	Unassigned
ASV_1746	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unassigned
ASV_1783	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Pilimelia	Unassigned
